actor,classify,director,movie_length,movie_name,movie_summary,movie_year,open_dt,rate,rate_num,writer
李易峰 / 金晨 / 王泷正 / 牛骏峰 / 施诗 / 王小毅 / 李强 / 刘伟 / 刘洁 / 周知 / 杨皓宇 / 罗京民 / 方舟波 / 宋家腾 / 葛四 / 任洛敏 / 韩烨洲 / 赵成顺 / 张浩天 / 张兰 / 赵蕴卓,剧情,王伟,,隐秘而伟大,"
                                　　抗战胜利，在上海弄堂长大的法学院高材生顾耀东（李易峰饰）大学毕业后，怀揣着“匡扶正义，保护百姓”的理想，如愿以偿地成为了一名警察。然而，初入职场的顾耀东不仅遭遇了警局同僚的排挤打压，还被卷入进了共产党地下情报网和国民党警察的激烈斗争中。乱世乱局之下，顾耀东亦不得不在正义与非正义的对峙中做出忠于自己信仰的选择。最终，在以夏继成（王泷正饰）与沈青禾（金晨饰）为中坚力量的中共上海地下党警委的帮助和培养下，在革命的征程中成全自己的理想的同时也收获了宝贵的爱情。
                        ",(2020),2020-11-06(中国大陆),8.2,127980,蒲维 / 黄琛
花江夏树 / 细谷佳正 / 三森铃子 / 田村睦心 / 吉田仁美 / 池田纯矢 / 榎木淳弥 / 市道真央 / 坂本千夏 / 山口真弓 / 重松花鸟 / 山田木野子 / 竹内顺子 / 樱井孝宏 / 松本美和 / 德光由禾 / 松冈茉优 / 小野大辅,动画/冒险,田口智久,94分钟,数码宝贝：最后的进化 デジモンアドベンチャー LAST EVOLUTION 絆,"
                                　　2010年，曾经的小学生们已经步入大学，太一、阿和等人步上不同的人生道路（八神太一和石田大和将会成长为22岁），而就在此时，数码宝贝的研究者メノア(松冈茉优 配音)却告诉他们：“被选召的孩子们”长大成人后，数码宝贝也将随之消失…。预告中字幕表明这是“太一他们最后的故事” ，结尾则注明：献给所有和数码宝贝一起成长的“孩子”们，还有亚古兽注视着长大成人的太一的背影，“太一，你长大了呢”。
                        ",(2020),"2020-10-30(中国大陆),2020-02-21(日本)",7.5,66895,大和屋晓
朴信惠 / 全钟瑞 / 金成铃 / 李艾 / 李东辉 / 朴浩山 / 吴政世,剧情/悬疑/惊悚,李聪贤,112分钟,电话 콜,"
                                　　一通电话让来自过去和现在的两个女人产生了奇妙的联系，并引发了一场改变未来的危险游戏...她们将渐渐难以自拔。
                        ",(2020),2020-11-27(韩国网络),7.6,64813,李聪贤
葛优 / 黄渤 / 范伟 / 邓超 / 沈腾 / 张占义 / 王宝强 / 徐峥 / 闫妮 / 马丽 / 刘敏涛 / 刘昊然 / 卢靖姗 / 王子文 / 魏翔 / 章宇 / 王砚辉 / 张译 / 王源 / 张一鸣 / 杨新鸣 / 王迅 / 于和伟 / 苗阜 / 辣目洋子 / 张子贤 / 董子健 / 陶虹 / 吴京 / 韩彦博 / 吕行 / 佟丽娅 / 李晨 / 孙俪 / 赵铁人 / 郝云 / 彭昱畅 / 杨紫 / 岳云鹏 / 赵海燕 / 岳小军 / 王俊凯 / 贾玲 / 潘斌龙 / 高睿菲儿 / 陈数 / 代乐乐 / 黄才伦 / 雷佳音 / 梁超 / 孙贵权 / 韩昊霖 / 岳红 / 陶亮 / 李易峰 / 许猛 / 郭帆 / 卫莱 / 栗坤 / 薇娅 / 李佳琦,剧情/喜剧,宁浩,153分钟,我和我的家乡,"
                                　　电影《我和我的家乡》定档2020年国庆，延续《我和我的祖国》集体创作的方式，由张艺谋担当总监制，宁浩担任总导演，张一白担任总策划，宁浩、徐峥、陈思诚、闫非&彭大魔、邓超&俞白眉分别执导五个故事。
                        ",(2020),2020-10-01(中国大陆),7.4,354210,葛优 / 黄渤 / 范伟 / 邓超 / 沈腾 / 张占义 / 王宝强 / 徐峥 / 闫妮 / 马丽 / 刘敏涛 / 刘昊然 / 卢靖姗 / 王子文 / 魏翔 / 章宇 / 王砚辉 / 张译 / 王源 / 张一鸣 / 杨新鸣 / 王迅 / 于和伟 / 苗阜 / 辣目洋子 / 张子贤 / 董子健 / 陶虹 / 吴京 / 韩彦博 / 吕行 / 佟丽娅 / 李晨 / 孙俪 / 赵铁人 / 郝云 / 彭昱畅 / 杨紫 / 岳云鹏 / 赵海燕 / 岳小军 / 王俊凯 / 贾玲 / 潘斌龙 / 高睿菲儿 / 陈数 / 代乐乐 / 黄才伦 / 雷佳音 / 梁超 / 孙贵权 / 韩昊霖 / 岳红 / 陶亮 / 李易峰 / 许猛 / 郭帆 / 卫莱 / 栗坤 / 薇娅 / 李佳琦
张译 / 吴京 / 李九霄 / 魏晨 / 邓超 / 欧豪 / 邱天 / 周思羽 / 刘显达 / 石昊正,剧情/战争,管虎,122分钟,金刚川,"
                                　　1953年，抗美援朝战争进入最终阶段，志愿军在金城发动最后一场大型战役。为在指定时间到达，向 金城前线投放更多战力，志愿军战士们在物资匮乏、武装悬殊的情况下，不断抵御敌机狂轰滥炸，以血肉 之躯一次次修补战火中的木桥。一段鲜为人知的历史，在暗流涌动的金刚川上徐徐展开......
                        ",(2020),2020-10-23(中国大陆),6.5,191575,管虎
约翰·大卫·华盛顿 / 罗伯特·帕丁森 / 伊丽莎白·德比茨基 / 肯尼思·布拉纳 / 亚伦·泰勒-约翰逊 / 迪宝·卡帕蒂娅 / 克蕾曼丝·波西 / 希米什·帕特尔 / 安德鲁·霍华德 / 尤里·科洛科利尼科夫 / 迈克尔·凯恩 / 马丁·唐文 / 卡里娜·韦尔瓦 / 乔纳森·坎普 / 凯蒂·麦克凯布 / 贝恩·科拉科 / 安东尼·莫利纳利 / 特伦特·布克斯顿 / 英格丽·玛格斯 / 瑞奇·切劳洛 / 劳里·谢泼德 / 马克·克雷尼克 / 亚历克斯·威克索 / 丹兹尔·史密斯 / 马塞尔·萨巴特,剧情/动作/科幻,克里斯托弗·诺兰,150分钟,信条 Tenet,"
                                　　世界存亡危在旦夕，“信条”一词是唯一的线索与武器。主人公穿梭于全球各地，开展特工活动，力求揭示“信条”之谜，并完成一项超越了真实时间的神秘任务。这项任务并非时间之旅，而是【时空逆转】。
                        ",(2020),"2020-09-04(中国大陆),2020-08-26(英国),2020-09-03(美国)",7.7,446975,克里斯托弗·诺兰
林更新 / 盖玥希 / 杜淳 / 秦海璐 / 李坤霖 / 林澄 / 冯文娟,爱情/悬疑,曹译文,,最初的相遇，最后的别离,"
                                　　前缉毒警严谨在卧底贩毒集团调查陈年疑案时，与“似水流年”咖啡店老板季晓鸥相爱。一桩离奇的杀人案却将两人的爱情拖入深渊。真相迷雾重重，而严谨仿佛坠入无尽的黑暗，他和季晓鸥的爱情又将何去何从……
                        ",(2020),2020-11-19(中国大陆),4.8,42621,周元姣
郑希 / 杨凝 / 图特哈蒙 / 阎么么 / 季冠霖 / 姜广涛,剧情/动画/奇幻,程腾,110分钟,姜子牙,"
                                　　故事发生于封神大战后。姜子牙率领众神伐纣，赢得封神大战胜利，以为可以唤回世间安宁。然而，一切并未结束。一个偶然，姜子牙发现了原来“封神大战”之下酝酿着更大的阴谋。姜子牙开始踏上探寻真相的旅途......
                        ",(2020),2020-10-01(中国大陆),6.8,445478,谢茜颖
安雅·泰勒-乔伊 / 伊斯拉·约翰斯顿 / 玛丽埃尔·海勒 / 托马斯·布罗迪-桑斯特 / 马辛·多洛辛斯基 / 雅各布·福琼·劳埃德 / 比尔·坎普 / 马修·丹尼斯·刘易斯 / 罗素·丹尼斯·刘易斯 / 克洛伊·皮里 / 摩西·英格拉姆 / 哈利·米尔林 / 多洛雷斯·卡波里 / 贾妮娜·埃尔金 / 帕特里克·肯尼迪 / 克里丝蒂安·赛德尔 / 阿克姆吉·恩迪福尼恩 / 塞尔吉奥·齐奥 / 丽贝卡·鲁特 / 弗雷德里克·斯特罗门格 / 索菲 麦希拉 / 威廉·霍尔伯格 / 埃洛伊塞·韦伯 / 约翰·施瓦布 / 朱丽·帕德尔,剧情,斯科特·弗兰克,,后翼弃兵 The Queen's Gambit,"
                                　　根据沃尔特·特维斯的小说改编，这个成长故事探索了天才背后真正的代价。20 世纪 50 年代末，年幼的贝丝·哈蒙（安雅·泰勒-乔伊饰）被遗弃并托付给肯塔基州的一家孤儿院。她具有惊人的国际象棋天赋，同时对政府提供给孩童的镇静剂上瘾。贝丝被自己心中的恶魔所困扰，在药物和痴迷的双重作用下，她变成了一个令人印象深刻、技艺高超且富有魅力的弃儿，并决心打破男性主导的国际象棋界建立的传统界限。
                        ",(2020),2020-10-23(美国),9.0,205875,艾伦·斯科特 / 斯科特·弗兰克 / 沃尔特·特维斯
张译 / 刘浩存 / 范伟 / 余皑磊 / 张邵勃  / 李延 / 于洋 / 刘云龙 / 常海军,剧情,张艺谋,104分钟,一秒钟,"
                                　　影片讲述了没赶上电影场次的张九声与刘闺女因一场电影结下了不解之缘的故事。故事灵感来源于张艺谋导演早期经历，是其一贯对文化展开追忆和寻根的风格。
                        ",(2020),2020-11-27(中国大陆),7.8,119407,张艺谋 / 邹静之
